ct,open,high,low,close,volume,cumulative_delta,vah,val,poc_vol
2026-06-05 09:50:00,7464.25,7466.25,7461.75,7465.5,8637,-147,0,0,0
2026-06-05 09:55:00,7465.5,7471.75,7464.5,7471.5,7319,-152,0,0,0
2026-06-05 10:00:00,7471.5,7472.5,7458.25,7458.5,13627,-157,0,0,0
2026-06-05 10:05:00,7458.25,7460.5,7455.25,7456.75,12465,-175,0,0,0
2026-06-05 10:10:00,7456.5,7458.75,7445.5,7445.75,17653,-176,0,0,0
2026-06-05 10:15:00,7446,7446.25,7437.25,7438.75,26275,-230,0,0,0
2026-06-05 10:20:00,7438.75,7444.5,7438,7439.75,19154,-220,0,0,0
2026-06-05 10:25:00,7439.5,7440,7429.5,7433.5,23069,-227,7422,7412,608
2026-06-05 10:30:00,7433.25,7435.75,7428.5,7430.75,15368,-289,7415,7407,504
2026-06-05 10:35:00,7431,7432.5,7425.5,7430.5,16724,-297,7401.75,7393.25,481
2026-06-05 10:40:00,7430.5,7431,7421.75,7424.75,16154,-374,7391.75,7379.75,497
2026-06-05 10:45:00,7424.75,7424.75,7410.25,7421,29798,-352,7390.5,7383,610
2026-06-05 10:50:00,7420.75,7423.5,7409,7413.75,21810,-351,7404.5,7393.25,424
2026-06-05 10:55:00,7413.75,7426.25,7412,7416.5,35280,-366,7404.5,7393.25,424
2026-06-05 11:00:00,7416.25,7418.25,7407,7415,23166,-418,7406,7397,454
2026-06-05 11:05:00,7415,7415.75,7399.5,7404.5,23223,-432,7409.75,7402.25,496
2026-06-05 11:10:00,7404.5,7405.25,7393.25,7396.75,23566,-440,7407.25,7394.75,470
2026-06-05 11:15:00,7396.75,7396.75,7379.75,7388,34260,-419,7410.75,7401,434
2026-06-05 11:20:00,7387.75,7393.75,7383,7393.5,26860,-437,7418.75,7409,598
2026-06-05 11:25:00,7475.75,7480,7471.5,7471.75,10978,-482,0,0,0
2026-06-05 11:30:00,7471.75,7472.5,7463,7466.75,20173,-481,0,0,0
2026-06-05 11:35:00,7466.75,7470,7461,7466.75,15453,-531,0,0,0
2026-06-05 11:40:00,7411.75,7412.5,7394.75,7402.75,33841,-544,7409.75,7402.25,496
2026-06-05 11:45:00,7402.75,7414.75,7401,7412.5,24294,-521,7409.75,7402.25,496
2026-06-05 11:50:00,7412.5,7423,7409,7416.5,34073,-512,7407.25,7394.75,470
2026-06-05 11:55:00,7416.25,7416.25,7397.25,7400.25,45857,-551,7410.75,7401,434
2026-06-05 13:35:00,7492.5,7493.75,7487,7491.75,81,-846,0,0,0
2026-06-05 13:40:00,7490,7490,7482.5,7486.25,117,-61,0,0,0
2026-06-05 13:45:00,7486.25,7486.25,7472,7481.25,146,4,0,0,0
2026-06-05 13:50:00,7482.25,7482.5,7470.5,7475,102,-24,0,0,0
